[2026-06-25T13:57:36.795] CC15 search started
[2026-06-25T13:57:36.795] range: 10^18 - 9220000000000000000
[2026-06-25T13:57:36.799] batch size: 10000000000000000
[2026-06-25T13:57:36.799] threads: 2
[2026-06-25T14:19:37.903] [84/822] 1,830,000,000,000,000,000-1,840,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1321.0s ETA=193min 1.1%
[2026-06-25T14:19:53.626] [85/822] 1,840,000,000,000,000,000-1,850,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1337.0s ETA=193min -1.0%
[2026-06-25T14:20:09.239] [86/822] 1,850,000,000,000,000,000-1,860,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1352.0s ETA=193min -0.9%
[2026-06-25T14:20:24.883] [87/822] 1,860,000,000,000,000,000-1,870,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1368.0s ETA=193min -0.8%
[2026-06-25T14:20:40.646] [88/822] 1,870,000,000,000,000,000-1,880,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1384.0s ETA=192min -0.6%
[2026-06-25T14:20:56.582] [89/822] 1,880,000,000,000,000,000-1,890,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1400.0s ETA=192min -0.5%
[2026-06-25T14:21:12.253] [90/822] 1,890,000,000,000,000,000-1,900,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1415.0s ETA=192min -0.4%
[2026-06-25T14:21:27.902] [91/822] 1,900,000,000,000,000,000-1,910,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1431.0s ETA=192min -0.3%
[2026-06-25T14:21:43.590] [92/822] 1,910,000,000,000,000,000-1,920,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1447.0s ETA=191min -0.2%
[2026-06-25T14:21:59.217] [93/822] 1,920,000,000,000,000,000-1,930,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1462.0s ETA=191min -0.0%
[2026-06-25T14:22:14.726] [94/822] 1,930,000,000,000,000,000-1,940,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1478.0s ETA=191min 0.1%
[2026-06-25T14:22:30.177] [95/822] 1,940,000,000,000,000,000-1,950,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=1493.0s ETA=190min 0.2%
[2026-06-25T14:22:45.642] [96/822] 1,950,000,000,000,000,000-1,960,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1509.0s ETA=190min 0.3%
[2026-06-25T14:23:01.039] [97/822] 1,960,000,000,000,000,000-1,970,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=1524.0s ETA=190min 0.5%
[2026-06-25T14:23:16.492] [98/822] 1,970,000,000,000,000,000-1,980,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1540.0s ETA=190min 0.6%
[2026-06-25T14:23:32.045] [99/822] 1,980,000,000,000,000,000-1,990,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1555.0s ETA=189min 0.7%
[2026-06-25T14:23:47.663] [100/822] 1,990,000,000,000,000,000-2,000,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1571.0s ETA=189min 0.8%
[2026-06-25T14:24:03.285] [101/822] 2,000,000,000,000,000,000-2,010,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1586.0s ETA=189min 0.9%
[2026-06-25T14:24:19.008] [102/822] 2,010,000,000,000,000,000-2,020,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1602.0s ETA=188min 1.1%
[2026-06-25T14:24:34.662] [103/822] 2,020,000,000,000,000,000-2,030,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1618.0s ETA=188min -1.1%
[2026-06-25T14:24:50.315] [104/822] 2,030,000,000,000,000,000-2,040,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1634.0s ETA=188min -0.9%
[2026-06-25T14:25:06] [105/822] 2,040,000,000,000,000,000-2,050,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1649.0s ETA=188min -0.8%
[2026-06-25T14:25:21.845] [106/822] 2,050,000,000,000,000,000-2,060,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1665.0s ETA=187min -0.7%
[2026-06-25T14:25:37.552] [107/822] 2,060,000,000,000,000,000-2,070,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1681.0s ETA=187min -0.6%
[2026-06-25T14:25:53.096] [108/822] 2,070,000,000,000,000,000-2,080,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1696.0s ETA=187min -0.4%
[2026-06-25T14:26:08.531] [109/822] 2,080,000,000,000,000,000-2,090,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=1712.0s ETA=187min -0.3%
[2026-06-25T14:26:23.998] [110/822] 2,090,000,000,000,000,000-2,100,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1727.0s ETA=186min -0.2%
