CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[414/822] 5,130,000,000,000,000,000-5,140,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=220.0s ETA=4min 0.9%
[415/822] 5,140,000,000,000,000,000-5,150,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=236.0s ETA=4min 1.0%
[416/822] 5,150,000,000,000,000,000-5,160,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=251.0s ETA=4min 1.1%
[417/822] 5,160,000,000,000,000,000-5,170,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=267.0s ETA=4min -1.0%
[418/822] 5,170,000,000,000,000,000-5,180,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=282.0s ETA=5min -0.9%
[419/822] 5,180,000,000,000,000,000-5,190,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=298.0s ETA=5min -0.8%
[420/822] 5,190,000,000,000,000,000-5,200,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=313.0s ETA=5min -0.6%
[421/822] 5,200,000,000,000,000,000-5,210,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=329.0s ETA=5min -0.5%
[422/822] 5,210,000,000,000,000,000-5,220,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=344.0s ETA=5min -0.4%
[423/822] 5,220,000,000,000,000,000-5,230,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=360.0s ETA=6min -0.3%
[424/822] 5,230,000,000,000,000,000-5,240,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=376.0s ETA=6min -0.2%
[425/822] 5,240,000,000,000,000,000-5,250,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=391.0s ETA=6min -0.0%
[426/822] 5,250,000,000,000,000,000-5,260,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=407.0s ETA=6min 0.1%
[427/822] 5,260,000,000,000,000,000-5,270,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=422.0s ETA=7min 0.2%
[428/822] 5,270,000,000,000,000,000-5,280,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=438.0s ETA=7min 0.3%
[429/822] 5,280,000,000,000,000,000-5,290,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=453.0s ETA=7min 0.5%
[430/822] 5,290,000,000,000,000,000-5,300,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=469.0s ETA=7min 0.6%
[431/822] 5,300,000,000,000,000,000-5,310,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=484.0s ETA=7min 0.7%
[432/822] 5,310,000,000,000,000,000-5,320,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=500.0s ETA=8min 0.8%
[433/822] 5,320,000,000,000,000,000-5,330,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=516.0s ETA=8min 0.9%
[434/822] 5,330,000,000,000,000,000-5,340,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=531.0s ETA=8min 1.1%
[435/822] 5,340,000,000,000,000,000-5,350,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=547.0s ETA=8min -1.1%
[436/822] 5,350,000,000,000,000,000-5,360,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=562.0s ETA=8min -0.9%
[437/822] 5,360,000,000,000,000,000-5,370,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=578.0s ETA=8min -0.8%
[438/822] 5,370,000,000,000,000,000-5,380,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=593.0s ETA=9min -0.7%
[439/822] 5,380,000,000,000,000,000-5,390,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=609.0s ETA=9min -0.6%
[440/822] 5,390,000,000,000,000,000-5,400,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=625.0s ETA=9min -0.5%
[441/822] 5,400,000,000,000,000,000-5,410,000,000,000,000,000 | 16.0s | found=0 total=0 | elapsed=641.0s ETA=9min -0.3%
[442/822] 5,410,000,000,000,000,000-5,420,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=657.0s ETA=9min -0.2%
[443/822] 5,420,000,000,000,000,000-5,430,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=672.0s ETA=10min -0.1%
[444/822] 5,430,000,000,000,000,000-5,440,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=688.0s ETA=10min 0.0%
[445/822] 5,440,000,000,000,000,000-5,450,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=704.0s ETA=10min 0.2%
[446/822] 5,450,000,000,000,000,000-5,460,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=719.0s ETA=10min 0.3%
[447/822] 5,460,000,000,000,000,000-5,470,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=735.0s ETA=10min 0.4%
[448/822] 5,470,000,000,000,000,000-5,480,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=751.0s ETA=10min 0.5%
[449/822] 5,480,000,000,000,000,000-5,490,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=766.0s ETA=11min 0.6%
[450/822] 5,490,000,000,000,000,000-5,500,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=782.0s ETA=11min 0.8%
[451/822] 5,500,000,000,000,000,000-5,510,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=798.0s ETA=11min 0.9%
[452/822] 5,510,000,000,000,000,000-5,520,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=813.0s ETA=11min 1.0%
[453/822] 5,520,000,000,000,000,000-5,530,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=829.0s ETA=11min -1.1%
[454/822] 5,530,000,000,000,000,000-5,540,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=844.0s ETA=11min -1.0%
[455/822] 5,540,000,000,000,000,000-5,550,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=860.0s ETA=12min -0.9%
[456/822] 5,550,000,000,000,000,000-5,560,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=875.0s ETA=12min -0.8%
[457/822] 5,560,000,000,000,000,000-5,570,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=891.0s ETA=12min -0.6%
[458/822] 5,570,000,000,000,000,000-5,580,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=906.0s ETA=12min -0.5%
[459/822] 5,580,000,000,000,000,000-5,590,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=922.0s ETA=12min -0.4%
[460/822] 5,590,000,000,000,000,000-5,600,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=937.0s ETA=12min -0.3%
[461/822] 5,600,000,000,000,000,000-5,610,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=953.0s ETA=12min -0.1%
[462/822] 5,610,000,000,000,000,000-5,620,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=968.0s ETA=13min -0.0%
[463/822] 5,620,000,000,000,000,000-5,630,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=984.0s ETA=13min 0.1%
[464/822] 5,630,000,000,000,000,000-5,640,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=999.0s ETA=13min 0.2%
[465/822] 5,640,000,000,000,000,000-5,650,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1015.0s ETA=13min 0.3%
[466/822] 5,650,000,000,000,000,000-5,660,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1030.0s ETA=13min 0.5%
[467/822] 5,660,000,000,000,000,000-5,670,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1046.0s ETA=13min 0.6%
[468/822] 5,670,000,000,000,000,000-5,680,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1061.0s ETA=13min 0.7%
[469/822] 5,680,000,000,000,000,000-5,690,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1077.0s ETA=14min 0.8%
[470/822] 5,690,000,000,000,000,000-5,700,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1093.0s ETA=14min 1.0%
[471/822] 5,700,000,000,000,000,000-5,710,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1108.0s ETA=14min 1.1%
[472/822] 5,710,000,000,000,000,000-5,720,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1124.0s ETA=14min -1.0%
[473/822] 5,720,000,000,000,000,000-5,730,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1139.0s ETA=14min -0.9%
[474/822] 5,730,000,000,000,000,000-5,740,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1155.0s ETA=14min -0.8%
[475/822] 5,740,000,000,000,000,000-5,750,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1170.0s ETA=14min -0.7%
