CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[127/822] 2,260,000,000,000,000,000-2,270,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1993.0s ETA=182min -0.4%
[128/822] 2,270,000,000,000,000,000-2,280,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2008.0s ETA=181min -0.3%
[129/822] 2,280,000,000,000,000,000-2,290,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2024.0s ETA=181min -0.1%
[130/822] 2,290,000,000,000,000,000-2,300,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2040.0s ETA=181min -0.0%
[131/822] 2,300,000,000,000,000,000-2,310,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2055.0s ETA=181min 0.1%
[132/822] 2,310,000,000,000,000,000-2,320,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2071.0s ETA=180min 0.2%
[133/822] 2,320,000,000,000,000,000-2,330,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=2087.0s ETA=180min 0.3%
[134/822] 2,330,000,000,000,000,000-2,340,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2103.0s ETA=180min 0.5%
[135/822] 2,340,000,000,000,000,000-2,350,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2118.0s ETA=180min 0.6%
[136/822] 2,350,000,000,000,000,000-2,360,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=2134.0s ETA=179min 0.7%
[137/822] 2,360,000,000,000,000,000-2,370,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2150.0s ETA=179min 0.8%
[138/822] 2,370,000,000,000,000,000-2,380,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2166.0s ETA=179min 1.0%
[139/822] 2,380,000,000,000,000,000-2,390,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2181.0s ETA=179min 1.1%
[140/822] 2,390,000,000,000,000,000-2,400,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2197.0s ETA=178min -1.0%
[141/822] 2,400,000,000,000,000,000-2,410,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2212.0s ETA=178min -0.9%
[142/822] 2,410,000,000,000,000,000-2,420,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2228.0s ETA=178min -0.8%
[143/822] 2,420,000,000,000,000,000-2,430,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2244.0s ETA=178min -0.7%
[144/822] 2,430,000,000,000,000,000-2,440,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2259.0s ETA=177min -0.6%
[145/822] 2,440,000,000,000,000,000-2,450,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2275.0s ETA=177min -0.4%
[146/822] 2,450,000,000,000,000,000-2,460,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2291.0s ETA=177min -0.3%
[147/822] 2,460,000,000,000,000,000-2,470,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2306.0s ETA=176min -0.2%
[148/822] 2,470,000,000,000,000,000-2,480,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2322.0s ETA=176min -0.1%
[149/822] 2,480,000,000,000,000,000-2,490,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2338.0s ETA=176min 0.1%
[150/822] 2,490,000,000,000,000,000-2,500,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2353.0s ETA=176min 0.2%
[151/822] 2,500,000,000,000,000,000-2,510,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2369.0s ETA=175min 0.3%
[152/822] 2,510,000,000,000,000,000-2,520,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=2385.0s ETA=175min 0.4%
[153/822] 2,520,000,000,000,000,000-2,530,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2400.0s ETA=175min 0.5%
[154/822] 2,530,000,000,000,000,000-2,540,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2416.0s ETA=175min 0.7%
[155/822] 2,540,000,000,000,000,000-2,550,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=2432.0s ETA=174min 0.8%
[156/822] 2,550,000,000,000,000,000-2,560,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=2448.0s ETA=174min 0.9%
[157/822] 2,560,000,000,000,000,000-2,570,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2463.0s ETA=174min 1.0%
[158/822] 2,570,000,000,000,000,000-2,580,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2479.0s ETA=174min -1.1%
[159/822] 2,580,000,000,000,000,000-2,590,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=2495.0s ETA=173min -1.0%
[160/822] 2,590,000,000,000,000,000-2,600,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2511.0s ETA=173min -0.9%
[161/822] 2,600,000,000,000,000,000-2,610,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=2527.0s ETA=173min -0.7%
[162/822] 2,610,000,000,000,000,000-2,620,000,000,000,000,000 | 16.0s | found=0 total=0 | elapsed=2543.0s ETA=173min -0.6%
